date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:08	2965/2965	---M--	200	added ('OK')	image/jpeg	etag:%22b95-62e7c043-234721c980afa5c9;;;%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/themes/resumo/assets/img/thumb/square.jpg	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/themes/resumo/assets/img/thumb/square.jpg	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:08	33877/33877	---M--	200	added ('OK')	image/jpeg	etag:%228455-62e7c030-2e6a1370ebc18590;;;%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/themes/resumo/assets/img/right.jpg	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/themes/resumo/assets/img/right.jpg	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:08	4984/4984	---M--	200	added ('OK')	image/png	etag:%221378-62d7e5b9-64fc86c202f6ca22;;;%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/2021/12/signature3.png	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/2021/12/signature3.png	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:09	3265/3265	---M--	200	added ('OK')	image/png	etag:%22cc1-62d54178-f1c7abd8b01ff8c5;;;%22	https://frenify.net/envato/frenify/wp/resumo/1/wp-content/uploads/2021/11/1.png	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/1/wp-content/uploads/2021/11/1.png	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:10	138723/138723	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Aug%202022%2017:50:10%20GMT	https://frenify.net/envato/frenify/wp/resumo/2/homepage/	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/homepage/index.html	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:10	1436/1436	---M-Z	200	added ('OK')	image/svg+xml	etag:%2259c-62e7c03e-53bcd34f3979e01e;gz%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/resumo-core/shortcode/assets/svg/inbox.svg	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/resumo-core/shortcode/assets/svg/inbox.svg	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:10	137765/137765	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Aug%202022%2017:50:10%20GMT	https://frenify.net/envato/frenify/wp/resumo/2/home-video/	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/home-video/index.html	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:11	757/757	---M-Z	200	added ('OK')	image/svg+xml	etag:%222f5-62e7c03c-e72e4ba91e0a8636;gz%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/resumo-core/shortcode/assets/svg/arrow.svg	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/resumo-core/shortcode/assets/svg/arrow.svg	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:11	2965/2965	---M--	200	added ('OK')	image/jpeg	etag:%22b95-62e7c03b-5edb388805b90dc7;;;%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/resumo-core/shortcode/assets/img/thumb-square.jpg	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/resumo-core/shortcode/assets/img/thumb-square.jpg	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:11	84316/84316	---M--	200	added ('OK')	image/jpeg	etag:%221495c-62d7e5b0-634fe9bd0523ed0f;;;%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/2021/11/1.jpg	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/2021/11/1.jpg	(from https://frenify.net/envato/frenify/wp/resumo/2/)
